City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,aldinga beach,-35.2793,138.4604,20.35,81,77,4.21,AU,1708097725
314,port alfred,-33.5906,26.891,21.77,70,51,2.68,ZA,1708097725
315,licheng,23.2955,113.8284,18.42,84,43,2.43,CN,1708097725
316,papao,-17.75,-149.55,24.82,75,96,4.32,PF,1708097725
317,midvagur,62.0511,-7.1939,3.46,70,21,1.03,FO,1708097725
318,puerto cabezas,14.0351,-83.3888,28.98,84,75,4.12,NI,1708097726
319,kapan,39.2075,46.4058,4.55,99,100,1.82,AM,1708097726
320,marica,-22.9194,-42.8186,28.97,76,56,6.97,BR,1708097726
321,al markaz,25.4,49.7333,31.33,27,84,6.15,SA,1708097726
322,warrnambool,-38.3833,142.4833,12.83,87,4,2.63,AU,1708097726
323,badger,64.8,-147.5333,-15.86,84,40,0.0,US,1708097726
324,matoury,4.8483,-52.3317,29.98,70,100,6.17,GF,1708097726
325,orsa,54.5153,30.4053,0.2,98,100,4.06,BY,1708097726
326,hakkari,37.5833,44.1667,0.88,80,75,1.03,TR,1708097726
327,paran'ga,56.7039,49.4047,-15.3,95,100,4.57,RU,1708097727
328,bikenibeu village,1.3673,173.1241,28.98,84,20,4.12,KI,1708097727
329,nouadhibou,20.931,-17.0347,25.99,57,58,7.2,MR,1708097727
330,khovd,48.0056,91.6419,-7.82,14,0,2.73,MN,1708097727
331,tibiri,13.5627,7.0485,31.19,15,42,8.23,NE,1708097727
332,alba posse,-27.5698,-54.6826,29.35,62,74,2.31,AR,1708097727
333,lazaro cardenas,17.9583,-102.2,26.75,69,93,0.54,MX,1708097727
334,dahab,28.501,34.5134,19.5,41,55,2.25,EG,1708097727
335,chippewa falls,44.9369,-91.3929,-10.01,79,0,4.12,US,1708097727
336,ternate,0.8,127.4,26.06,84,65,4.18,ID,1708097728
337,katoya,23.65,88.1333,20.48,31,0,2.81,IN,1708097728
338,praia,14.9215,-23.5087,30.3,39,0,11.32,CV,1708097728
339,butare,-2.5967,29.7394,18.58,86,83,1.04,RW,1708097728
340,plastun,44.7561,136.2939,-9.52,74,98,1.88,RU,1708097728
341,kirakira,-10.4544,161.9205,27.06,90,30,3.37,SB,1708097728
342,vanimo,-2.6741,141.3028,26.15,90,100,2.88,PG,1708097728
343,pacific grove,36.6177,-121.9166,13.43,77,0,3.09,US,1708097728
344,wenshui,28.4506,106.5267,8.66,85,1,1.68,CN,1708097728
345,kirensk,57.7853,108.1119,-23.91,97,100,1.34,RU,1708097729
346,padang,-0.9492,100.3543,26.03,87,86,2.05,ID,1708097729
347,tambura,5.6,27.4667,31.8,38,84,3.18,SS,1708097729
348,port augusta,-32.5,137.7667,21.93,39,0,3.4,AU,1708097729
349,el granada,37.5027,-122.4694,12.73,92,0,1.54,US,1708097729
350,arno,60.1167,18.6333,2.66,100,100,3.19,SE,1708097729
351,las khorey,11.1595,48.1967,26.36,78,3,4.58,SO,1708097730
352,kolonia,50.9333,6.95,14.77,86,100,1.03,DE,1708097730
353,antsiranana,-12.2787,49.2917,28.42,83,40,6.17,MG,1708097730
354,tazovsky,67.4667,78.7,-28.31,95,11,3.19,RU,1708097730
355,yuzhno-kurilsk,44.0306,145.8556,-7.57,86,45,2.24,RU,1708097730
356,iwaki,37.05,140.8833,-0.66,61,5,2.12,JP,1708097730
357,scottburgh,-30.2867,30.7532,21.46,78,100,3.43,ZA,1708097731
358,antofagasta,-23.65,-70.4,22.6,68,82,4.21,CL,1708097731
359,winnemucca,40.973,-117.7357,3.03,70,100,0.0,US,1708097731
